year,more70,bet50_69,all,bet15_49,bet5_14,under5
1990,"236167","78605","22822","4427",0,0
1991,"233014","77806","22686","4417",0,0
1992,"231015","77468","22700","4462",0,0
1993,"229638","77658","22904","4555",0,0
1994,"226704","77415","22888","4636",0,0
1995,"223917","76692","22814","4661",0,0
1996,"220457","75106","22472","4582",0,0
1997,"216891","73341","22166","4503",0,0
1998,"213652","71602","21920","4426",0,0
1999,"210372","69991","21771","4373",0,0
2000,"206309","68307","21516","4332",0,0
2001,"202482","66565","21330","4254",0,0
2002,"200014","65318","21278","4191",0,0
2003,"197381","63987","21173","4123",0,0
2004,"193248","62356","20887","4051",0,0
2005,"190156","61128","20813","4010",0,0
2006,"186389","59549","20560","3898",0,0
2007,"183176","58158","20419","3799",0,0
2008,"180225","56767","20254","3697",0,0
2009,"177299","55378","20065","3571",0,0
2010,"174518","54081","19932","3464",0,0
2011,"171418","52834","19772","3350",0,0
2012,"168459","51818","19653","3248",0,0
2013,"165406","50905","19540","3167",0,0
2014,"162799","50188","19501","3103",0,0
2015,"161402","49964","19717","3079",0,0
2016,"158998","49393","19730","3028",0,0
2017,"156479","48726","19774","2991",0,0